PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Is indexable page,Hreflang links,Hreflang links codes,Hreflang issues,Hreflang group ID,No. of hreflang inlinks,No. of all inlinks
20,https://estetiacrm.com.br/help/primeiros-passos/melhores-praticas-vendas,Melhores práticas de gestão de vendas - Central de Ajuda | Estetia CRM,text/html; charset=utf-8,false,200,0,true,"https://estetiacrm.com.br/en/help/primeiros-passos/melhores-praticas-vendas
https://estetiacrm.com.br/help/primeiros-passos/melhores-praticas-vendas
https://estetiacrm.com.br/help/primeiros-passos/melhores-praticas-vendas","308
200
200",Some pages are not returning 200 status code,8759086707819338603,0,2
20,https://estetiacrm.com.br/help/equipe/permissoes-equipe,Gerenciando permissões de equipe - Central de Ajuda | Estetia CRM,text/html; charset=utf-8,false,200,0,true,"https://estetiacrm.com.br/en/help/equipe/permissoes-equipe
https://estetiacrm.com.br/help/equipe/permissoes-equipe
https://estetiacrm.com.br/help/equipe/permissoes-equipe","308
200
200",Some pages are not returning 200 status code,9194925853669888486,0,2
20,https://estetiacrm.com.br/help/integracoes/usando-api,Usando a API do Estetia CRM - Central de Ajuda | Estetia CRM,text/html; charset=utf-8,false,200,0,true,"https://estetiacrm.com.br/en/help/integracoes/usando-api
https://estetiacrm.com.br/help/integracoes/usando-api
https://estetiacrm.com.br/help/integracoes/usando-api","308
200
200",Some pages are not returning 200 status code,9250975815986077499,0,2
20,https://estetiacrm.com.br/help/analytics/analytics-basico,Entendendo o Analytics básico - Central de Ajuda | Estetia CRM,text/html; charset=utf-8,false,200,0,true,"https://estetiacrm.com.br/en/help/analytics/analytics-basico
https://estetiacrm.com.br/help/analytics/analytics-basico
https://estetiacrm.com.br/help/analytics/analytics-basico","308
200
200",Some pages are not returning 200 status code,11087047172092242482,0,2
20,https://estetiacrm.com.br/help/pipeline-negocios/entendendo-pipeline-kanban,Entendendo o Pipeline Kanban - Central de Ajuda | Estetia CRM,text/html; charset=utf-8,false,200,0,true,"https://estetiacrm.com.br/en/help/pipeline-negocios/entendendo-pipeline-kanban
https://estetiacrm.com.br/help/pipeline-negocios/entendendo-pipeline-kanban
https://estetiacrm.com.br/help/pipeline-negocios/entendendo-pipeline-kanban","308
200
200",Some pages are not returning 200 status code,12747881739047918996,0,2
20,https://estetiacrm.com.br/help/automacoes/automacoes-email,Configurando automações de email - Central de Ajuda | Estetia CRM,text/html; charset=utf-8,false,200,0,true,"https://estetiacrm.com.br/en/help/automacoes/automacoes-email
https://estetiacrm.com.br/help/automacoes/automacoes-email
https://estetiacrm.com.br/help/automacoes/automacoes-email","308
200
200",Some pages are not returning 200 status code,12944893988958238451,0,2
20,https://estetiacrm.com.br/help/integracoes/google-calendar,Sincronizando com Google Calendar - Central de Ajuda | Estetia CRM,text/html; charset=utf-8,false,200,0,true,"https://estetiacrm.com.br/en/help/integracoes/google-calendar
https://estetiacrm.com.br/help/integracoes/google-calendar
https://estetiacrm.com.br/help/integracoes/google-calendar","308
200
200",Some pages are not returning 200 status code,13752067171010546223,0,2
20,https://estetiacrm.com.br/help/integracoes/integracao-whatsapp,Integração com WhatsApp - Central de Ajuda | Estetia CRM,text/html; charset=utf-8,false,200,0,true,"https://estetiacrm.com.br/en/help/integracoes/integracao-whatsapp
https://estetiacrm.com.br/help/integracoes/integracao-whatsapp
https://estetiacrm.com.br/help/integracoes/integracao-whatsapp","308
200
200",Some pages are not returning 200 status code,14849412155186489749,0,2
20,https://estetiacrm.com.br/help/primeiros-passos/criar-primeiro-negocio,Como criar seu primeiro negócio - Central de Ajuda | Estetia CRM,text/html; charset=utf-8,false,200,0,true,"https://estetiacrm.com.br/en/help/primeiros-passos/criar-primeiro-negocio
https://estetiacrm.com.br/help/primeiros-passos/criar-primeiro-negocio
https://estetiacrm.com.br/help/primeiros-passos/criar-primeiro-negocio","308
200
200",Some pages are not returning 200 status code,15411931864271357125,0,2
20,https://estetiacrm.com.br/help/pipeline-negocios/filtros-busca,Usando filtros e busca avançada - Central de Ajuda | Estetia CRM,text/html; charset=utf-8,false,200,0,true,"https://estetiacrm.com.br/en/help/pipeline-negocios/filtros-busca
https://estetiacrm.com.br/help/pipeline-negocios/filtros-busca
https://estetiacrm.com.br/help/pipeline-negocios/filtros-busca","308
200
200",Some pages are not returning 200 status code,16235445239105041500,0,2
