URL,Último rastreamento
https://estetiacrm.com.br/en/tools/ltv-calculator,2026-06-04
https://estetiacrm.com.br/en/blog/lgpd-para-clinicas-de-estetica-guia-2026,2026-06-01
https://estetiacrm.com.br/en/solutions/dermatologia,2026-06-01
https://estetiacrm.com.br/vs,2026-05-30
https://estetiacrm.com.br/en/blog/kpis-essenciais-clinica-de-estetica,2026-05-30
https://estetiacrm.com.br/features/analytics,2026-05-28
https://estetiacrm.com.br/year,2026-05-28
https://estetiacrm.com.br/en/features/agenda,2026-05-27
https://estetiacrm.com.br/en/help/pipeline-negocios/tags-custom-fields,2026-05-26
https://estetiacrm.com.br/en/help/[category]/entendendo-pipeline-kanban,2026-05-25
https://estetiacrm.com.br/en/help/equipe/permissoes-equipe,2026-05-25
https://estetiacrm.com.br/en/help/[category]/gerenciar-assinatura,2026-05-25
https://estetiacrm.com.br/en/help/integracoes/usando-api,2026-05-25
https://estetiacrm.com.br/pt-BR/features/prontuario-digital,2026-05-25
https://estetiacrm.com.br/en/features/analytics,2026-05-24
https://estetiacrm.com.br/cadastrar,2026-05-24
https://estetiacrm.com.br/en/help/[category]/permissoes-equipe,2026-05-24
https://estetiacrm.com.br/en/help/pipeline-negocios/entendendo-pipeline-kanban,2026-05-22
https://estetiacrm.com.br/en/help/[category]/usando-api,2026-05-22
https://estetiacrm.com.br/en/help/planos/gerenciar-assinatura,2026-05-22
https://estetiacrm.com.br/en/help/integracoes/integracao-n8n,2026-05-22
